Tanggal,SMA_10,WMA_10,Momentum_10,Stoch_K%_10,Stoch_D%_10,RSI_10,MACD,Williams_R%_10,AD_Oscillator,CCI_10
2023-12-31,,,,,,,0.0,,,
2023-12-30,,,,,,,0.7817663817663743,,0.7633102932934798,
2023-12-29,,,,,,,1.9868338731016597,,0.7820780740616928,
2023-12-28,,,,,,,6.516424256647952,,1.3730619233330184,
2023-12-27,,,,,,,12.7160016311459,,0.2647538677918447,
2023-12-26,,,,,,,5.630815794856062,,-1.1532571301742307,
2023-12-25,,,,,,,3.257512751667946,,1.4499300419748178,
2023-12-24,,,,,,,0.7379446950199053,,0.6942469295410456,
2023-12-23,,,,,,,2.3484489845973258,,1.060944479897889,
2023-12-22,2299.447,2299.027272727273,,53.91327850496157,,55.98337715206512,4.8295170293135925,46.086721495038425,0.3027877449627366,1.3206446149725577
2023-12-21,2295.219,2288.149636363636,-42.2800000000002,21.62234860129109,,45.17725966145,-0.031179141114535,78.37765139870892,-0.4928473031683826,-128.3924261714609
2023-12-20,2286.268,2271.235272727273,-89.50999999999976,14.345527445623194,,40.39530441873944,-6.824930509500064,85.65447255437681,0.2332085877486734,-128.21059038344458
2023-12-19,2274.088,2251.448363636363,-121.79999999999971,12.963144641747563,,37.39600149012795,-14.044252174081066,87.03685535825244,0.4494228302693461,-121.13803416537569
2023-12-18,2261.521,2241.396,-125.66999999999962,35.66134018698556,,36.890530137072105,-16.240994194205086,64.33865981301443,0.4575019952114926,-100.2467160098686
2023-12-17,2243.362,2229.672181818182,-181.59000000000012,33.86432298819006,,30.55406823584846,-19.512846270436967,66.13567701180993,0.5608342989571234,-50.47433887024357
2023-12-16,2243.195,2227.073636363636,-1.669999999999618,48.52604595807022,,49.762142144993646,-19.298794805712987,51.47395404192978,1.315958299919814,-13.861904318088811
2023-12-15,2238.098,2222.930909090909,-50.970000000000255,44.561933534743154,,42.01272448052149,-19.601987591975103,55.43806646525684,0.8475633154259373,20.15662612936561
2023-12-14,2243.305,2237.0294545454544,52.06999999999971,88.15343770026544,,56.40483160717356,-12.019452167058262,11.846562299734554,1.1801782682512731,98.48484848484834
2023-12-13,2238.4620000000004,2240.0976363636364,-48.43000000000029,62.76663920168446,41.63780187635624,44.19179199347579,-10.365905014578855,37.23336079831554,-0.2356079128695241,-8.387670234686414
2023-12-12,2226.388,2233.7390909090905,-120.74000000000024,38.56259289447177,40.10273331530725,36.81820166819512,-13.47454009437888,61.43740710552823,-0.2240553485896703,-56.09989051179877
2023-12-11,2224.96,2233.548545454545,-14.279999999999744,44.09380927746171,42.34987938292432,48.19341126461215,-14.01350444357422,55.90619072253829,0.7939327255580011,57.00312576827174
2023-12-10,2239.967,2256.694,150.07000000000016,90.41063468896694,49.956390107258684,65.48039033648983,-4.1513995383156725,9.589365311033063,2.8866195838900377,202.53049870463192
2023-12-09,2256.278,2274.981818181818,163.11000000000013,78.15509558717841,56.47558520180178,67.29069052515527,2.688499171368676,21.844904412821588,0.7115105827776155,144.85967844176818
2023-12-08,2270.24,2293.5530909090908,139.6199999999999,82.99996039133362,61.20944722223658,65.57633093846218,9.442283070166011,17.000039608666388,1.0068069306930678,109.77213883130597
2023-12-07,2286.116,2309.1094545454544,158.76000000000022,81.96221333227713,66.01923625664529,68.50177139660636,14.417101987227396,18.037786667722862,0.147924095771778,45.02506442995073
2023-12-06,2286.554,2299.5338181818183,4.379999999999654,33.50101002099253,64.51673266293753,50.42167282809608,8.39034071726428,66.49898997900748,-0.5238368753589949,-43.10120319929995
2023-12-05,2293.847,2300.767636363637,72.93000000000029,57.22264031370068,65.78280334083327,56.3907534306595,8.350452648578084,42.77735968629932,0.6183418665229515,-36.725859114195856
2023-12-04,2286.637,2291.620909090909,-72.09999999999991,37.49752445835148,60.71721201664188,43.13542539416561,4.2513898865181545,62.50247554164852,-0.260794259557093,-60.50711472093
2023-12-03,2279.898,2274.557818181818,-67.38999999999987,16.832828202265112,56.12383091669994,43.525794985109066,-3.057008458531982,83.16717179773488,-0.4327990135635,-110.4994117149343
2023-12-02,2276.028,2253.629090909091,-38.69999999999982,24.916679892080605,54.75923961646082,46.065153733528575,-10.981742108260278,75.08332010791939,-0.1397688356164377,-141.737706793886
2023-12-01,2262.215,2219.298545454545,-138.1300000000001,11.748841129372083,51.52474280165186,37.385157719775705,-23.254148903822625,88.25115887062792,-0.8676677616142616,-154.96551540960962
2023-11-30,2232.145,2180.9976363636365,-300.7000000000003,7.928402211108156,43.27651955386598,17.04440839945643,-35.44815253107117,92.07159778889184,-0.9996959562177026,-136.21061636076894
2023-11-29,2200.989,2144.060363636364,-311.5600000000002,2.351984825904365,35.69620847773858,16.648111672518652,-46.39834736688045,97.64801517409563,0.387855044074439,-107.9244341329454
2023-11-28,2169.994,2116.3296363636364,-309.9500000000003,13.563015617703456,28.75251400037556,16.934434274253775,-52.89484363576912,86.43698438229654,0.5826972010178118,-88.209415833133
2023-11-27,2137.165,2090.4234545454547,-328.2900000000002,12.417510921089308,21.798043759256775,16.29673736730797,-59.05392369104402,87.5824890789107,0.270728793309442,-80.5008552428145
2023-11-26,2120.084,2076.8734545454545,-170.80999999999997,23.886806834783663,20.83662344063589,28.63860333658488,-60.40404141308454,76.11319316521634,1.1975421863536306,-42.17764911637335
2023-11-25,2099.059,2070.147272727273,-210.25,33.58494540603168,18.47285394986899,20.82859283514165,-59.14212177749778,66.41505459396832,1.103391908459347,-17.454126622839695
