Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%,SMA_10,WMA_10,Momentum_10,Lowest_10,Highest_10,Stoch_K%_10,Stoch_D%_10,Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI_10,MACD,Williams_R%_10,AD_Oscillator,Typical_Price,SMA_Typical,Mean_Deviation,CCI_10
2023-06-21,0.065644,0.063108,0.066737,0.062845,"1,42B","4,02%",0.0655673,0.06593774545454545,-0.0028590000000000004,0.060681,0.069946,53.56718834322718,44.334040812871606,7.699999999999374e-05,7.699999999999374e-05,0.0,0.000654299999999998,0.000940199999999998,0.6959157626037006,41.034807149576636,-0.0009667372159329751,46.43281165677283,0.30061664953751344,0.06507533333333333,0.06553576666666668,0.0012714533333333348,-24.142101602016734
2023-06-20,0.063108,0.062429,0.063108,0.060782,"696,97M","1,09%",0.0652246,0.0654906,-0.0034269999999999995,0.060681,0.069946,26.19535887749595,42.3113446404956,-0.0025359999999999966,0.0,0.0025359999999999966,0.000654299999999998,0.0009969999999999979,0.6562688064192571,39.62332707563735,-0.00114387107868609,73.80464112250405,-1.0902837489251944,0.06233266666666667,0.0652557,0.001497633333333332,-130.1178897074644
2023-06-19,0.062429,0.062107,0.062755,0.061574,"533,66M","0,52%",0.0651254,0.06498230909090909,-0.0009920000000000068,0.060681,0.069946,18.8667026443605,42.76179540529198,-0.000678999999999999,0.0,0.000678999999999999,0.000654299999999998,0.0007534999999999986,0.8683477106834759,46.47677226878815,-0.0013237808449036575,81.1332973556395,-0.29889923793394557,0.06225266666666666,0.0651496,0.0016037333333333334,-120.4245649041131
2023-06-18,0.062107,0.062193,0.063901,0.061409,"938,05M","-0,14%",0.0650814,0.06443350909090909,-0.0004400000000000029,0.060782,0.069946,14.45875163683982,42.520204481075794,-0.0003219999999999959,0.0,0.0003219999999999959,0.000654299999999998,0.0006982999999999983,0.9369898324502357,48.37350288333578,-0.0014753365780381805,85.54124836316018,0.5906902086677369,0.06247233333333333,0.06509283333333334,0.0016605,-105.20927431496555
2023-06-17,0.062193,0.062172,0.062927,0.061778,"544,38M","0,03%",0.0647447,0.06390834545454545,-0.003366999999999995,0.060782,0.069946,15.397206460061074,39.647734857593754,8.59999999999958e-05,8.59999999999958e-05,0.0,0.0003615999999999987,0.0006982999999999983,0.5178290133180575,34.11642607793186,-0.0015704034734793093,84.60279353993893,0.713664055700606,0.06229933333333334,0.06479613333333334,0.0019655066666666677,-84.68723925298309
2023-06-16,0.062172,0.06151,0.062744,0.06091,"736,34M","1,08%",0.0644852,0.06344058181818181,-0.002595000000000007,0.060782,0.069946,15.168048886948895,37.46947734802494,-2.1000000000000185e-05,0.0,2.1000000000000185e-05,0.0003615999999999987,0.0006210999999999994,0.5821928835936226,36.79658084868215,-0.0016286649616627652,84.8319511130511,0.30043620501635626,0.061942,0.06448746666666667,0.002227666666666668,-76.17736545463639
2023-06-15,0.061509,0.060413,0.061948,0.059738,"774,12M","1,81%",0.06396569999999999,0.06289945454545454,-0.005194999999999998,0.059738,0.069946,17.34913793103451,33.75765574593939,-0.0006629999999999969,0.0,0.0006629999999999969,0.0001678999999999993,0.0006873999999999991,0.244253709630491,19.63053899216645,-0.0017086400311892708,82.6508620689655,-0.101357466063346,0.061065,0.06388953333333333,0.002194640000000001,-85.80096153456691
2023-06-14,0.060413,0.061725,0.062178,0.058498,"988,86M","-2,13%",0.0633362,0.06225350909090909,-0.006295000000000002,0.058498,0.069946,16.727812718378768,29.662972902944723,-0.0010959999999999998,0.0,0.0010959999999999998,0.0001674999999999989,0.0007969999999999991,0.2101631116687567,17.366511145671254,-0.0018392570796081503,83.27218728162123,0.1817934782608687,0.060363,0.06324033333333333,0.001991066666666672,-96.34143619277175
2023-06-13,0.061726,0.061436,0.062642,0.060637,"721,04M","0,47%",0.0626868,0.061960745454545454,-0.006494,0.058498,0.069278,29.944341372912803,25.443052973250353,0.0013130000000000017,0.0013130000000000017,0.0,0.00014759999999999912,0.0007969999999999991,0.1851944792973642,15.625661655727214,-0.0018158914385732888,70.0556586270872,1.111720698254365,0.06166833333333333,0.0626228,0.0013174133333333296,-48.30003576031198
2023-06-12,0.061436,0.061528,0.06169,0.06009,"788,59M","-0,15%",0.0622737,0.06173332727272728,-0.004131000000000003,0.058498,0.066737,35.659667435368306,24.33342163066278,-0.00029000000000000553,0.0,0.00029000000000000553,0.00014759999999999912,0.0005606999999999994,0.26324237560192487,20.838627700126978,-0.0018000250082630953,64.34033256463168,-0.02250000000000076,0.061071999999999994,0.06205426666666667,0.0008322000000000003,-78.68834948863858
2023-06-11,0.061528,0.061765,0.062847,0.061089,"875,00M","-0,38%",0.06186210000000001,0.06159774545454546,-0.004115999999999995,0.058498,0.063901,56.07995558023319,24.584698354363383,9.20000000000018e-05,9.20000000000018e-05,0.0,0.00014909999999999994,0.0005606999999999994,0.2659176029962549,21.005917159763328,-0.0017597419074985438,43.92004441976681,0.8026166097838455,0.06182133333333333,0.06172886666666666,0.0005494266666666678,11.219776575178058
2023-06-10,0.061765,0.069462,0.070869,0.055888,"3,58B","-11,08%",0.0617278,0.06158009090909092,-0.001342999999999997,0.055888,0.070869,39.22969094185969,25.888131560799756,0.0002370000000000011,0.0002370000000000011,0.0,0.00017280000000000003,0.0003070999999999997,0.5626831650928042,36.00750156282561,-0.001689221051828324,60.77030905814031,0.6235231292971097,0.06284066666666667,0.06177966666666666,0.0005900666666666672,119.8734606259186
2023-06-09,0.069462,0.067941,0.071069,0.067451,"914,85M","2,24%",0.0624311,0.06298630909090909,0.007032999999999998,0.055888,0.071069,89.41439957842042,32.94290125420575,0.0076969999999999955,0.0076969999999999955,0.0,0.0009424999999999995,0.00023919999999999982,3.940217391304349,79.75797579757976,-0.0010007135888179947,10.585600421579592,2.57158651188502,0.06932733333333332,0.06248713333333333,0.0014387466666666668,316.95179137397315
