Terakhir,SMA_10,WMA_10,Momentum_10,Stoch_K%_10,Stoch_D%_10,RSI_10,MACD,Williams_R%_10,AD_Oscillator,CCI_10
0.089544,,,,,,,0.0,,,
0.089992,,,,,,,3.5737891737885885e-05,,0.8576726935558643,
0.090973,,,,,,,0.0001415868053018,,0.8076611815484206,
0.091773,,,,,,,0.0002867210047574,,1.0409139213602554,
0.093609,,,,,,,0.0005436241980088,,0.4886578449905483,
0.091366,,,,,,,0.0005597777061344,,0.1219053588216861,
0.094345,,,,,,,0.0008036953810918,,0.9825305714998752,
0.091716,,,,,,,0.0007759192531399,,0.1151400988933372,
0.093474,,,,,,,0.000885554261119,,1.1467635860159202,
0.095031,0.0921823,0.0929363454545454,,92.78922345483372,,68.01260586960808,0.0010855639766455,7.210776545166288,0.607276927519491,114.82159844386692
0.094956,0.0927235,0.0934406545454545,0.005412,72.25571725571723,,67.6793414347315,0.0012239127397885,27.744282744282785,0.372113039736049,109.7852028639614
0.09148,0.0928722999999999,0.0932145636363636,0.001488,36.12266112266117,,54.05803425329989,0.0010410701725668,63.87733887733883,-0.4337827121332291,-82.40804083565756
0.090198,0.0927948,0.0927283272727272,-0.0007749999999999,22.796257796257795,,47.92057955460157,0.0007836855951416,77.20374220374221,0.4819424109321608,-110.12449652142146
0.092116,0.0928291,0.0926049090909091,0.000343,49.93638676844784,,50.86822254847368,0.0007261029707185,50.06361323155216,0.4980353634577603,-96.6120055426685
0.092901,0.0927582999999999,0.0926179818181818,-0.000708,56.327921786707314,,48.10715431504652,0.0007353347838261,43.672078213292686,1.0755183564770772,83.96814289046614
0.097144,0.0933361,0.0934153818181818,0.0057779999999999,94.38514664992374,,63.95517341319678,0.0010726607367301,5.614853350076258,0.8100506281642604,110.89392881163
0.093013,0.0932029,0.0933566363636363,-0.0013319999999999,52.90952735700685,,46.95250297428388,0.00099518493645,47.09047264299315,0.2569684974435104,70.0449466826796
0.098382,0.0938695,0.0942982909090909,0.0066659999999999,97.31899048407112,,63.55208587460355,0.0013514396805445,2.681009515928878,1.3242614561525954,142.09759911033316
0.096394,0.0941615,0.0947572909090909,0.0029199999999999,80.86884567645835,65.57106783520851,55.88140509184658,0.0014565687287034,19.13115432354165,-0.1099826272885193,33.99455212916187
0.093791,0.0940375,0.0946899272727272,-0.00124,59.32974762101776,62.22512025182691,47.60340162350212,0.0013146889945978,40.67025237898224,0.2046296296296308,16.707396677941766
0.09409,0.0939509,0.0946994727272727,-0.000866,37.04493601825211,58.70404212808042,48.340614700697465,0.0012123992998472,62.95506398174789,0.8315412186379931,117.47036767600008
0.101711,0.094974,0.0961104,0.0102309999999999,74.84376549945438,62.57615256575973,66.91689539998015,0.0017263843048164,25.15623450054561,1.448829660003418,173.957173727981
0.098411,0.0957953,0.0967353090909091,0.0082129999999999,58.4763416327745,66.1441609494114,62.7305701088136,0.00184615735082,41.52365836722549,0.4277998862990333,127.2913282641623
0.101504,0.0967341,0.0977732545454545,0.0093879999999999,68.40246603220204,67.99076887578681,64.0404402967217,0.0021656928444033,31.597533967797965,0.6433383233532931,101.64181767209558
0.095879,0.0970319,0.0976177818181818,0.002978,34.733943855868816,65.83137108270297,53.89057274247494,0.0019426429565337,65.26605614413118,-0.6670595167943424,-43.65083231831123
0.094903,0.0968078,0.097230709090909,-0.0022409999999999,28.89208116358412,59.282064534069015,46.79902871018427,0.0016678928397523,71.10791883641589,0.8000161799207182,25.570869260189685
0.094188,0.0969252999999999,0.0967543818181818,0.0011749999999999,34.696946129517244,57.46080641132004,51.85982462249517,0.0013765884139008,65.30305387048276,0.0747033104309808,-138.73486420905027
0.09178,0.0962651,0.0958188727272727,-0.0066019999999999,30.166635635822004,50.74557092649513,38.46933072516418,0.0009405796652832,69.833364364178,-0.2537376586741883,-147.01440590763255
0.085677,0.0951934,0.0938937636363636,-0.0107169999999999,8.663666262766156,43.52505298512591,33.634670005802775,0.0001014095099243,91.33633373723384,-1.2805289814293743,-168.13178191444013
0.086119,0.0944261999999999,0.0922438727272727,-0.0076719999999999,12.239870891021813,38.81606531212631,37.45667386044078,-0.0005219563896865,87.76012910897819,0.2643955381368714,-122.92220848475758
0.083819,0.0933991,0.0903152909090909,-0.0102709999999999,6.576147101387608,35.769186420439866,34.23871343952369,-0.0011878760387868,93.4238528986124,-0.4580963215775504,-109.06311824793946
0.08339,0.091567,0.0884954545454545,-0.0183209999999999,11.89763779527563,29.474573650021995,13.922255917451054,-0.0017302931309448,88.10236220472437,0.116261203585146,-97.13546038176452
0.080401,0.089766,0.0864652727272727,-0.0180099999999999,2.8419319008771167,23.911132676832253,14.094896331738424,-0.002373984093394,97.15806809912289,-0.1306060606060604,-96.9289010091248
0.080737,0.0876893,0.0848236363636363,-0.0207669999999999,13.674299903434948,18.438316063955547,3.485194642297202,-0.0028244430059295,86.32570009656504,0.1236416324559284,-99.21103394576168
0.078791,0.0859804999999999,0.0832057636363636,-0.017088,6.9630293833632,15.661224616704985,4.172924265179148,-0.0033004157379054,93.0369706166368,0.1476465364120776,-95.8730907906595
0.07864,0.0843542,0.0818711272727272,-0.016263,14.25883549453344,14.197900049799916,4.366126045232619,-0.0036477628556881,85.74116450546656,0.0263591433278408,-106.7884839600782
0.078812,0.0828166,0.0808634545454545,-0.015376,17.978614148492678,12.52606685169746,5.4989580921509145,-0.0038646101661369,82.02138585150732,0.2875237492083577,-81.17488846671087
