Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%,SMA_10,WMA_10,Momentum_10,Lowest_10,Highest_10,Stoch_K%_10,Stoch_D%_10,Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI_10,MACD,Williams_R%_10,AD_Oscillator,Typical_Price,SMA_Typical,Mean_Deviation,CCI_10
2023-12-12,2203.49,2225.33,2243.34,2168.18,"377,05K","-0,98%",2226.388,2233.7390909090905,-120.74000000000024,2123.06,2331.63,38.56259289447177,40.10273331530725,-56.690000000000055,0.0,56.690000000000055,16.862000000000034,28.936000000000057,0.5827343102018248,36.81820166819512,-13.474540094378881,61.43740710552823,-0.22405534858967033,2205.0033333333336,2225.0716666666667,23.848333333333265,-56.09989051179877
2023-12-11,2225.34,2352.26,2355.02,2164.16,"678,03K","-5,40%",2224.96,2233.548545454545,-14.279999999999745,2123.06,2355.02,44.09380927746171,42.349879382924314,21.850000000000364,21.850000000000364,0.0,19.04700000000007,20.475000000000044,0.9302564102564117,48.19341126461215,-14.01350444357422,55.906190722538284,0.7939327255580011,2248.1733333333336,2226.532666666667,25.309333333333324,57.00312576827174
2023-12-10,2352.26,2340.55,2376.57,2324.18,"206,78K","0,50%",2239.967,2256.694,150.07000000000016,2123.06,2376.57,90.41063468896694,49.956390107258684,126.92000000000007,126.92000000000007,0.0,31.73900000000008,16.732000000000063,1.8969041357877097,65.48039033648983,-4.1513995383156725,9.589365311033065,2.8866195838900377,2351.0033333333336,2240.7246666666665,36.30026666666672,202.53049870463192
2023-12-09,2340.55,2358.42,2401.34,2332.36,"304,64K","-0,76%",2256.278,2274.981818181818,163.11000000000013,2123.06,2401.34,78.15509558717841,56.47558520180178,-11.710000000000036,0.0,11.710000000000036,31.73900000000008,15.428000000000065,2.057233601244487,67.29069052515527,2.688499171368676,21.844904412821588,0.7115105827776155,2358.0833333333335,2257.5333333333333,46.27466666666669,144.85967844176818
2023-12-08,2358.42,2355.78,2389.36,2340.88,"397,41K","0,11%",2270.2400000000002,2293.5530909090908,139.6199999999999,2148.87,2401.34,82.99996039133362,61.20944722223658,17.86999999999989,17.86999999999989,0.0,29.390000000000054,15.428000000000065,1.9049779621467418,65.57633093846218,9.442283070166013,17.000039608666388,1.0068069306930678,2362.8866666666668,2274.9833333333336,53.38533333333335,109.77213883130595
2023-12-07,2355.8,2233.45,2381.65,2224.61,"518,61K","5,48%",2286.116,2309.1094545454544,158.76000000000022,2148.87,2401.34,81.96221333227713,66.01923625664529,-2.619999999999891,0.0,2.619999999999891,29.390000000000054,13.514000000000033,2.1747817078585157,68.50177139660636,14.417101987227397,18.037786667722866,0.14792409577177804,2320.686666666667,2285.6873333333333,51.822000000000074,45.02506442995073
2023-12-06,2233.45,2293.36,2310.2,2223.15,"431,57K","-2,61%",2286.554,2299.5338181818183,4.379999999999654,2148.87,2401.34,33.50101002099253,64.51673266293753,-122.35000000000036,0.0,122.35000000000036,26.187000000000033,25.74900000000007,1.0170103693347299,50.42167282809608,8.39034071726428,66.49898997900748,-0.5238368753589949,2255.6,2287.7623333333336,49.74700000000007,-43.10120319929995
2023-12-05,2293.34,2243.3,2302.29,2190.96,"561,41K","2,22%",2293.847,2300.767636363637,72.93000000000029,2148.87,2401.34,57.22264031370068,65.78280334083327,59.89000000000033,59.89000000000033,0.0,32.176000000000066,24.883000000000038,1.293091669010972,56.3907534306595,8.350452648578084,42.77735968629932,0.6183418665229515,2262.1966666666667,2288.9483333333337,48.56100000000006,-36.725859114195856
2023-12-04,2243.54,2192.79,2272.26,2191.43,"601,45K","2,31%",2286.6369999999997,2291.620909090909,-72.09999999999991,2148.87,2401.34,37.49752445835148,60.71721201664188,-49.80000000000018,0.0,49.80000000000018,22.653000000000066,29.863000000000056,0.7585641094330785,43.13542539416561,4.2513898865181545,62.502475541648515,-0.260794259557093,2235.7433333333333,2283.034,52.10480000000007,-60.50711472093
2023-12-03,2192.79,2164.79,2215.46,2150.58,"279,65K","1,29%",2279.898,2274.557818181818,-67.38999999999987,2150.58,2401.34,16.832828202265112,56.123830916699944,-50.75,0.0,50.75,22.653000000000066,29.392000000000053,0.770719923788787,43.525794985109066,-3.057008458531982,83.16717179773488,-0.4327990135635,2186.2766666666666,2278.565333333333,55.67973333333339,-110.4994117149343
